DATE,target,population,income,gdp,unemployed_rate,mortgage_rate,emratio,permit,labor_percent,monthly_supply,house_st,msp_us,ppi_cement,ppi_concrete,all_const_emp,home_ow_rate,p_saving_rate,new_private_house,new_private_hw_under,uni_michi_sentiment
2020-03-09,20366.41234065934,801.2161290322581,61.95483870967742,1236.6774193548388,215.73525806451613,57.60645161290322,1178.741935483871,3.33,6.603225806451613,324217.5824175824,254.7516129032258,257.3032258064516,1271.0967741935483,19138.303225806452,331646.9032258064,17.532258064516128,67.31758241758241,84.63548387096773,1209.3225806451612,7.058064516129033
2020-03-10,20346.70497802198,797.1806451612903,61.8741935483871,1235.3870967741937,215.80129032258063,57.332258064516125,1167.7096774193549,3.34,6.616129032258065,324147.25274725276,254.85806451612902,257.31612903225806,1261.483870967742,19208.41612903226,331648.51612903224,18.161290322580644,67.34725274725275,84.07741935483871,1208.6129032258063,7.390322580645162
2020-03-11,20326.997615384615,793.1451612903226,61.79354838709678,1234.0967741935483,215.86732258064515,57.05806451612903,1156.6774193548388,3.35,6.629032258064516,324076.92307692306,254.96451612903226,257.3290322580645,1251.8709677419356,19278.529032258066,331650.12903225806,18.79032258064516,67.37692307692308,83.51935483870967,1207.9032258064517,7.72258064516129
2020-03-12,20307.290252747254,789.1096774193549,61.71290322580645,1232.8064516129032,215.93335483870968,56.78387096774193,1145.6451612903227,3.36,6.641935483870968,324006.5934065934,255.07096774193548,257.34193548387094,1242.258064516129,19348.641935483873,331651.7419354839,19.419354838709676,67.4065934065934,82.96129032258064,1207.1935483870968,8.05483870967742
2020-03-13,20287.58289010989,785.074193548387,61.63225806451613,1231.516129032258,215.9993870967742,56.50967741935484,1134.6129032258063,3.4014285714285712,6.65483870967742,323936.26373626373,255.17741935483872,257.35483870967744,1232.6451612903227,19418.75483870968,331653.3548387097,20.048387096774192,67.43626373626374,82.40322580645162,1206.483870967742,8.387096774193548
2020-03-14,20267.875527472526,781.0387096774193,61.55161290322581,1230.225806451613,216.0654193548387,56.23548387096774,1123.5806451612902,3.4428571428571426,6.667741935483871,323865.93406593404,255.28387096774193,257.3677419354839,1223.032258064516,19488.867741935486,331654.96774193546,20.67741935483871,67.46593406593406,81.84516129032258,1205.774193548387,8.719354838709677
2020-03-15,20248.168164835166,777.0032258064516,61.47096774193548,1228.9354838709678,216.13145161290322,55.961290322580645,1112.5483870967741,3.484285714285714,6.680645161290323,323795.6043956044,255.39032258064515,257.3806451612903,1213.4193548387098,19558.980645161293,331656.5806451613,21.306451612903224,67.49560439560439,81.28709677419354,1205.0645161290322,9.051612903225806
2020-03-16,20228.460802197802,772.9677419354839,61.39032258064516,1227.6451612903227,216.19748387096774,55.68709677419355,1101.516129032258,3.525714285714286,6.693548387096774,323725.2747252747,255.4967741935484,257.39354838709676,1203.8064516129032,19629.0935483871,331658.1935483871,21.935483870967744,67.52527472527473,80.7290322580645,1204.3548387096773,9.383870967741935
2020-03-17,20208.753439560438,768.9322580645161,61.30967741935484,1226.3548387096773,216.26351612903224,55.412903225806446,1090.483870967742,3.567142857142857,6.706451612903226,323654.94505494507,255.6032258064516,257.40645161290325,1194.1935483870968,19699.206451612903,331659.8064516129,22.564516129032256,67.55494505494505,80.17096774193548,1203.6451612903227,9.716129032258063
2020-03-18,20189.046076923078,764.8967741935484,61.22903225806452,1225.0645161290322,216.32954838709676,55.13870967741935,1079.4516129032259,3.6085714285714285,6.719354838709678,323584.6153846154,255.70967741935485,257.4193548387097,1184.5806451612902,19769.31935483871,331661.4193548387,23.193548387096776,67.58461538461539,79.61290322580645,1202.9354838709678,10.048387096774192
2020-03-19,20169.338714285714,760.8612903225807,61.148387096774194,1223.774193548387,216.3955806451613,54.86451612903225,1068.4193548387098,3.65,6.732258064516129,323514.28571428574,255.81612903225806,257.43225806451613,1174.967741935484,19839.432258064517,331663.03225806454,23.82258064516129,67.61428571428571,79.05483870967741,1202.225806451613,10.380645161290321
2020-03-20,20149.631351648353,756.8258064516128,61.06774193548387,1222.483870967742,216.46161290322578,54.59032258064516,1057.3870967741937,3.6285714285714286,6.745161290322581,323443.95604395604,255.92258064516128,257.4451612903226,1165.3548387096773,19909.545161290323,331664.6451612903,24.451612903225808,67.64395604395604,78.49677419354839,1201.516129032258,10.712903225806452
2020-03-21,20129.92398901099,752.7903225806451,60.98709677419355,1221.1935483870968,216.5276451612903,54.31612903225806,1046.3548387096773,3.607142857142857,6.758064516129032,323373.62637362635,256.0290322580645,257.45806451612907,1155.741935483871,19979.65806451613,331666.2580645161,25.08064516129032,67.67362637362638,77.93870967741935,1200.8064516129032,11.04516129032258
2020-03-22,20110.216626373625,748.7548387096774,60.906451612903226,1219.9032258064517,216.59367741935483,54.041935483870965,1035.3225806451612,3.585714285714286,6.770967741935484,323303.2967032967,256.13548387096773,257.4709677419355,1146.1290322580644,20049.770967741937,331667.87096774194,25.70967741935484,67.7032967032967,77.38064516129032,1200.0967741935483,11.37741935483871
